stationID,总进站量,name,中文名
1241,1774914,Jiangpu Park,江浦公园
505,1748561,Zhuanqiao,颛桥
1323,1734126,Fengzhuang,丰庄
124,1732153,Xinzha Road,新闸路
735,1715855,Langao Road,岚皋路
1625,1711900,Hesha Hangcheng,鹤沙航城
1046,1706982,Shuicheng Road,水城路
842,1688995,Anshan Xincun,鞍山新村
639,1683997,Boxing Road,博兴路
2030,1671941,Baoshan Road,宝山路
745,1656067,Changqing Road,长清路
325,1654173,Dongbaoxing Road,东宝兴路
421,1648266,Nanpu Bridge,南浦大桥
1624,1639491,East Zhoupu,周浦东
1048,1624246,Songyuan Road,宋园路
134,1622180,Hulan Road,呼兰路
1140,1612532,Qilianshan Road,祁连山路
636,1609794,Deping Road,德平路
1161,1581999,Xiuyan Road,秀沿路
730,1577967,Changzhong Road,场中路
637,1541781,Yunshan Road,云山路
848,1538010,Nenjiang Road,嫩江路
920,1533379,Songjiang Sports Center,松江体育中心
263,1527288,Pudong International Airport,浦东国际机场
823,1507635,Pujiang Town,浦江镇
1150,1506652,Shanghai Swimming Center,上海游泳馆
1060,1492350,Youdian Xincun,邮电新村
507,1486808,Beiqiao,北桥
921,1470007,Songjiang New City,松江新城
1132,1462985,West Jiading,嘉定西
1156,1462390,East Sanlin,三林东
258,1455501,East Huaxia Road,华夏东路
2012,1449776,Longhua,龙华
1117,1448055,Anting,安亭
2023,1432287,West Gaoke Road,高科西路
1051,1418755,Shanghai Library,上海图书馆
640,1415074,Wulian Road,五莲路
1114,1405409,Huaqiao,花桥
1135,1394956,Malu,马陆
1163,1365639,Disney Resort,迪士尼
1246,1351199,Donglu Road,东陆路
830,1319363,China Art Museum,中华艺术宫
633,1294013,Yuanshen Sports Center,源深体育中心
1627,1293836,Xinchang,新场
1238,1279386,International Cruise Terminal,国际客运中心
1244,1279174,Aiguo Road,爱国路
1249,1277528,Jinjing Road,金京路
1226,1274613,Guilin Park,桂林公园
1068,1265096,New Jiangwan City,新江湾城
1018,1265025,Hangzhong Road,航中路
1157,1246167,Pusan Road,浦三路
312,1242623,Shilong Road,石龙路
847,1233195,Xiangyin Road,翔殷路
119,1232648,Hengshan Road,衡山路
628,1224452,Linyi Xincun,临沂新村
726,1211043,Qihua Road,祁华路
747,1206132,Yuntai Road,云台路
1143,1169132,Zhenru,真如
1239,1159355,Tilanqiao,提篮桥
634,1141217,Minsheng Road,民生路
923,1133530,Dongjing,洞泾
510,1132926,Jingping Road,金平路
724,1127360,Liu Hang,刘行
1133,1126400,Baiyin Road,白银路
722,1109187,Luonan Xincun,罗南新村
626,1107447,Dongming Road,东明路
927,1105182,Zhongchun Road,中春路
334,1103350,Songbin Road,淞滨路
635,1100240,Beiyangjing Road,北洋泾路
1248,1093164,North Yanggao Road,杨高北路
1044,1092525,Shanghai Zoo,上海动物园
508,1089917,Jianchuan Road,剑川路
625,1086171,Gaoqing Road,高青路
629,1072013,Shanghai Children's Medical Center,上海儿童医学中心
337,1052426,Youyi Road,友谊路
1045,1045651,Longxi Road,龙溪路
1116,1038199,Zhaofeng Road,兆丰路
1338,1030070,World Expo Museum,世博会博物馆
622,1012868,South Lingyan Road,灵岩南路
731,1010958,Dachang Town,大场镇
846,989723,Huangxing Park,黄兴公园
729,984650,Shangda Road,上大路
