stationID,总进站量,name
634,1141217,Minsheng Road
923,1133530,Dongjing
510,1132926,Jingping Road
724,1127360,Liu Hang
1133,1126400,Baiyin Road
722,1109187,Luonan Xincun
626,1107447,Dongming Road
927,1105182,Zhongchun Road
334,1103350,Songbin Road
635,1100240,Beiyangjing Road
1248,1093164,North Yanggao Road
1044,1092525,Shanghai Zoo
508,1089917,Jianchuan Road
625,1086171,Gaoqing Road
629,1072013,Shanghai Children's Medical Center
337,1052426,Youyi Road
1045,1045651,Longxi Road
1116,1038199,Zhaofeng Road
1338,1030070,World Expo Museum
622,1012868,South Lingyan Road
731,1010958,Dachang Town
846,989723,Huangxing Park
729,984650,Shangda Road
1333,979499,Shanghai Natural History Museum
1222,978378,Gudai Road
339,974881,North Jiangyang Road
314,963585,Caoxi Road
642,954056,Dongjing Road
623,930871,Shangnan Road
929,890804,Xingzhong Road
646,890470,Hangjin Road
336,888382,Baoyang Road
1628,872903,Shanghai Wild Animal Park
1322,866750,West Jinshajiang Road
335,863593,Shuichan Road
1043,858129,Hongqiao Terminal 1
1223,847263,Donglan Road
1162,839896,Kangxin Highway
503,836946,Yindu Road
644,833576,Zhouhai Road
332,832840,Songfa Road
825,830975,Lingzhao Xincun
919,830402,Zuibaichi
624,781962,West Huaxia Road
645,761791,South Waigaoqiao Free Trade Zone Station
1221,752491,Hongxin Road
137,732424,West Youyi Road
2040,731312,Oriental Sports Center
728,709796,Nanchen Road
511,705871,Huaning Road
1250,687768,Shenjiang Road
1066,684154,Sanmen Road
1633,646979,Dishui Lake
647,635337,North Waigaoqiao Free Trade Zone Station
1115,627703,Guangming Road
502,616049,Chunshen Road
1153,614336,Longyao Road
2042,611084,Luoshan Road
648,605992,Gangcheng Road
1118,592483,Shanghai Automobile City
1339,570176,Expo Avenue
1152,569744,Yunjin Road
643,561493,Wuzhou Avenue
1631,533882,Shuyuan
1067,516756,East Yingao Road
1626,451345,Hangtou East
723,450762,Panguang Road
513,450579,Minhang Development Zone
918,449404,South Songjiang Railway Station
1019,432981,Ziteng Road
1119,427493,East Changji Road
260,418107,Lingkong Road
744,387529,Houtan
338,380212,Tieli Road
1120,377993,Shanghai Circuit
1632,358292,Lingang Avenue
1630,272839,Huinan East
257,259017,Chuangxin Central Road
512,253283,Wenjing Road
261,236454,Yuandong Avenue
1139,232204,Wuwei Road
262,224913,Haitian 3rd Road
1622,206118,Middle Huaxia Road
333,192083,Zhanghuabang
1245,166343,Fuxing Island
