站点,ADF统计量(原序列),p值(原序列),ADF统计量(一阶差分),p值(一阶差分),选定差分阶数d
People's Square(人民广场·枢纽),-8.498,0.0,-10.267,0.0,0
Xinzhuang(莘庄·通勤),-7.783,0.0,-11.221,0.0,0
